id,male,female
3243,32,8
1210537,64,61
1773,304,222
1,6435,4204
1161,666,633
4315,87,53
2458,266,1494
40722,4,28
52667,3,10
34388,22,24
53410,0,2
54161,28,53
34399,2,18
36875,4,8
34625,10,40
32338,20,37
35143,36,42
30247,6,15
32312,5,34
38833,0,3
3154,744,1317
3859,21,366
1423,170,1868
3854,159,1996
11725,25,234
2213,147,37
6382,20,8
10472,75,43
2347,255,294
1969,165,92
1916,13,22
26412,4,8
1062,398,411
13717,2,16
1071,487,520
1545,174,154
1963,319,253
6317,5,14
3040,888,564
1046,118,58
9801,12746,47726
4718,879,3189
921,4236,2667
58165,19,19
70743,222,695
4748,81,521
502,13,63
488,64,168
3986,172,333
3527,6,13
3226,355,1228
10334,6,63
3091,178,322
25444,24,353
1484702,978,5401
1055,3274,3695
1092,518,450
1084,293,162
2555,90,99
2752,8,25
2195,101,74
844,3457,3010
2282,243,154
922,364,1593
1036,715,676
3517,64,32
2515,46,53
7275,304,444
7,307,1377
1899967,1659,13739
1899998,217,1820
718,267,1943
4539,569,506
23599,7,8
1517,1149,1198
1938674,122,177
13369,483,477
828,988,1802
4533,1180,1245
2620,1952,6223
23643,354,314
15699,1614,1954
12222,780,895
24780,973,1501
1101,103,113
2003,469,536
1803,278,279
25383,9,81
87548,8,8
13879,32,109
17058,8,14
10628,150,730
11565,22,76
11569,1,3
14072,45,249
13658,19,68
5988,2,30
3221,46,387
28129,5,6
69737,7,17
38308,1,3
2612,47,103
934,13596,40614
824,3675,11572
610,2162,5431
696,1673,4030
700,1271,2569
965,92,93
3041,2146,15409
1926679,932,728
11895,98,56
2441,6934,13685
3,427,1167
9,40,493
7877,92,580
2,5449,4387
1551,474,291
694,1544,924
112119,1,0
8184,37,113
7819,11,17
3232,9,25
10727,6,14
4406,5,13
1911893,0,2
1134,23,52
22916,523,1323
4609,267,475
10649,10,35
135039,5,18
3262,39,292
7812,29,121
492,301,1119
4155,61,494
957635,98,65
24896,580,619
645,28,33
16372,695,1474
13238,76,307
701,1226,849
976,2046,1890
2077,54,20
1444,435,286
1073,408,234
2541,450,1358
3850,168,1986
14980,47,128
3462947,1,9
6435,115,256
641,45,184
22899,82,413
1916128,493,1470
2566,156,221
4516,1014,3639
52373,2,8
129537,0,16
14685,88,69
1858,41,137
3419,262,450
3926,78,840
17244,0,1
1193791,91,470
2794,3471,11830
4229,706,2135
2208,1091,8241
4663,1630,10080
1889298,320,1300
14,871,988
1935,582,255
1885,68,37
125839,33,6
23290,64,14
605,4249,8309
2792,467,1113
1486396,0,3
27633,7,87
5827,4,4
777,14532,63362
1946828,59,39
812,81,107
1446,864,1130
25984,4,13
38762,4,20
896,1074,517
1080,79,50
103250,5,1
2411,87,54
132581,21,7
1544,142,73
1898849,2,67
2668,2877,9044
39609,1,1
4745,135,685
14238,222,621
38682,46,56
34376,21,36
54668,5,7
37323,20,6
34934,40,52
35356,67,109
52714,2,7
33077,8,11
54248,0,5
52976,15,12
30254,70,117
3200,209,99
5997,43,194
31447,2,8
82341,46,6
1913817,12,20
12093,311,198
15457,303,355
4530,663,1690
13367,46,90
15866,970,1342
34150,6,13
25631,25,23
16855,33,47
16339,17,31
16288,320,384
12444,141,171
15914,68,73
15703,2421,4834
690,150,223
3534,422,474
16074,71,167
819,16,4
17380,70,81
1506858,16,20
17530,89,126
11796,61,176
17670,4,50
1905984,314,1144
1334,166,643
3669,21,23
1276,234,223
13634,52,50
1237,684,555
1061,1416,1033
18115,839,3975
102956,1693,12861
1121,246,149
13947,22,71
30752,4,27
14542,6,1
25307,23,304
6418,17,17
24706,2,5
35568,3,0
1977,221,1119
55512,469,1774
1622,76,431
11580,132,388
590,748,3013
11,158,304
2179,112,911
72734,40,222
3191,329,1771
2054,2,15
15,268,700
23052,241,780
1279,207,378
2816,43,359
13332,522,1767
1200,87,410
1917792,5,15
1909,24,257
1419,179,423
1816,27,39
2914,469,1310
2291,175,238
18214,7,9
1889380,2,17
6232,62,12
18,324,680
864,203,1282
22838,8,39
2123,249,667
10881,29,309
22926,618,4342
6998,3,40
35508,67,85
13447,436,145
1604,1032,962
125836,2,15
11493,11,25
12638,42,45
13570,50,149
1908330,0,3
9915,17,107
851,10,64
5859,36,193
5929,87,229
23047,21,84
798,1778,4163
14911,510,1424
5,260,574
26261,100,232
4485,25,49
100416,32,180
2222,13,43
702,424,2574
22827,100,160
29707,24,13
1749,154,620
9909,44,149
1559480,14,77
33381,0,20
29485,39,0
2433,416,331
1888728,26,6
1208097,4,2
12456,25,7
1208095,15,0
1844037,201,80
13,223,370
125094,30,43
83077,60,85
42690,7,3
123657,6,4
1922831,1,0
125100,6,6
32894,5,108
1900058,0,8
1900174,3,236
1900002,117,1001
1899996,70,514
1899984,68,766
1900007,12,272
30825,9,66
11608,1,55
11706,1,28
13380,0,10
6527,5,45
33355,27,102
11566,7,33
1206097,21,24
24867,28,260
3192,3093,23089
1323,416,538
12397,245,1367
4811,1245,6500
4807,1568,6960
22990,197,1211
14981,167,940
1680,96,320
1927897,31,232
1899982,55,281
1900061,9,46
1899979,0,9
38574,29,247
1899983,172,1199
621,557,1360
2475,21,16
3729,295,171
1923282,2,7
8,10,141
724,34,332
993,94,13
1017,1004,1211
109710,494,86
6244,4,9
1900082,6,42
1900162,0,29
1899985,7,39
8264,24,191
2924,743,522
1094,110,94
1890331,2,1
902,271,355
1183,11182,12428
958277,28,182
795,234,328
9840,1917,3178
1953,1514,1088
1196907,486,248
3957,19,21
707,130,344
1382,71,356
16204,0,5
18191,3,3
5985,84,166
1860780,3,5
33318,28,48
9377,0,12
1468,83,80
7030,18,214
9739,26,410
2453,121,96
1082,31,20
2509,15,10
11621,55,182
16570,6,5
778,163,771
571,65,260
12530,13,7
15792,1894,6038
2551,335,904
23034,2,2
23030,8,19
5787,523,3592
3772,77,407
1899968,0,29
1203255,6,78
1899995,62,299
1900032,6,91
1753,123,63
124471,1261,4458
16601,148,501
1913598,7,6
1914622,6,38
1200260,2,2
12518,426,637
69646,42,45
16769,24,62
15753,111,159
2658358,3,2
80186,50,35
15734,257,330
15735,3,0
12279,216,197
1925545,3,1
18653,2,2
1066,258,141
3787,8,1
1449,211,83
1087,71,26
2086,25,3
1207,15,25
1699,94,42
5431,29,206
402635,31,147
2760,47,159
587,218,635
1908103,27,608
31644,12,175
4652,73,449
2446,44,283
10,62,814
919,284,513
12287,25,26
3102,70,74
109386,91,89
1891017,19,8
10342,3996,2130
2846,9,167
142098,64,346
5429,131,1291
727,81,549
728,238,1268
1371,6,2
4816,116,53
6956,67,166
36314,7,15
3247,519,2775
6954,360,1611
957691,0,1
790,38,234
2427,294,73
27471,12,6
8565,3,13
1005,23,5
54382,0,3
39508,17,93
52004,9,8
42415,17,23
42044,37,41
33066,33,80
36941,3,8
34902,9,38
53915,6,55
39093,6,12
54221,5,10
30251,55,103
30237,1,2
52158,0,9
38562,10,33
37228,55,44
