id,male,female
90404,390,284
90403,845,435
90402,9406,4401
90698,1236,1751
7330336,5018,8031
90692,9244,17070
90666,66697,109594
8353924,568,351
91497,7289,5532
91461,21640,15581
198119,38476,26592
91491,11381,7768
91072,1234,1081
90508,197,33
13199877,612,140
7812065,182,1122
7812006,4250,20572
7811879,12081,54363
7877999,55527,196815
7811945,453,2139
7811896,1471,7384
7811873,8071,48124
7811903,389,2774
7812156,88,317
7811877,12684,14944
84758401,471,1335
8475840,13752,32529
819388,157,357
819384,1245,2692
819000,10835,24070
819385,99,128
819030,77,220
819027,576,1807
15368134,1283,1400
16044336,3941,4654
91391,6269,9595
91325,22039,38783
91307,91581,173974
819408,43,172
819407,123,316
819394,71,144
91174,401,1089
91172,6306,19853
90509,39710,230669
819172,181,349
819166,478,999
819443,734,1167
819436,1473,2328
819168,25,90
819110,34,93
819109,132,374
7286125,1075,1763
90679,1296,2113
6179129,9193,14869
8478954,77,508
8478945,2506,23713
91157,33015,210020
13238924,220,2515
14990252,81,701
4748066,265,2908
4748054,1346,12387
91159,5215,46989
91183,1871,9535
91182,5090,34158
14989652,1290,4857
91186,6236,33841
14220661,850,478
14459154,1437,1172
91528,1577,1303
91512,7958,9150
15687312,21,12
91728,113,128
12333570,731,495
1618974,9392,4826
91597,19836,13684
13792285,58,52
13792950,978,618
90719,5357,7243
15450084,365,408
90594,1476,1488
10606704,3688,3749
198118,29648,34196
10563370,186,708
91298,551,1735
10498025,1991,1515
13276667,465,3799
4748052,1613,14844
14716524,162,223
14716484,223,396
91763,3760,6182
15450081,1109,1077
15687757,88,189
13022251,1012,2057
10607801,4854,12200
90580,487,533
14290574,1765,1709
90581,404,387
14192138,254,229
91618,138,158
91609,2872,2539
91610,322,278
90682,115,162
7286147,564,962
15685787,5920,19975
12699910,19151,74084
90813,30605,118183
13431995,134,156
10470548,3146,7840
90783,16249,44805
90764,47860,151891
91184,609,3949
4854062,830,7028
15728502,388,1268
10614956,565,1782
7812019,331,1199
7814995,303,1435
7812192,7750,36428
7812191,15977,57072
7970569,100,632
7920675,222,1112
7811938,106,555
7811893,345,1618
12808960,399,1304
15068776,3279,11287
7811881,6707,22300
15927546,4950,14993
12501046,215,376
13792611,29,64
13792607,33,65
7920671,289,1909
7815003,1363,2254
7812193,4696,7737
7815017,68,311
7814994,3345,8567
411498,31,68
12327609,4737,6634
90579,9032,11487
765280,776,907
12327586,1566,1952
90577,407,288
90574,2419,1990
15003480,79,41
91704,883,606
14425785,79,88
14440702,815,901
90465,77,84
12327158,213,157
90461,1107,741
91078,243,219
12324117,1373,1273
91009,17395,10489
237420,387,405
90546,60,40
944108,6020,4413
13625748,48,306
13625669,125,1134
15521377,850,5024
90748,3542,14754
14245898,46,55
13858281,146,828
13858268,715,3068
10790728,2824,10820
13858304,157,760
138608,359,293
10604368,728,788
91122,478,219
1558993,1957,886
90544,202,131
90543,997,472
10599873,7667,4293
91167,532,2687
12410435,102,76
8476099,1414,10436
8475933,6076,49732
8476101,636,4749
8476098,988,8305
14415742,56,338
14420679,213,906
90688,991,2846
13333758,2877,8710
90685,6845,17870
4748062,773,6591
14993676,249,1671
13314820,409,2867
16044621,1365,1300
90535,189,568
90530,522,1920
15685457,13231,54109
15753386,2084,3411
15753381,3481,5845
12252125,7363,13044
91384,4440,8849
91380,9306,18300
14420217,1660,3435
91308,17425,35361
15720120,1272,2159
14420129,1283,2464
91329,2363,3819
15720026,2425,4010
91420,467,626
15720040,2210,4194
15720054,725,1160
15720044,2817,5053
982439,2194,4509
91335,1524,2644
1003092,1387,1896
11917783,2197,3212
12894143,686,1303
90667,2938,8599
278341,771,838
12330574,2509,2231
90563,8424,8495
90606,116,123
12327560,2493,2613
90588,342,419
90570,476,318
922553,4320,6766
91013,873,653
10604359,2145,1565
90854,175,438
90851,3109,7011
90829,11431,27310
90801,21332,45989
90916,85,131
90914,1889,6573
90917,870,2380
10682562,83,316
10682538,2900,10124
10683227,1409,4133
8480736,174,785
12457383,174,785
10682610,590,1822
10682550,1111,4519
15626083,57,301
15626082,868,3760
7812009,3201,14017
7812032,374,2388
7812011,2641,12144
7812151,2609,2953
7812056,364,770
7812181,622,632
7812164,1377,1742
7811934,177,808
7811892,862,5917
14870981,163,548
7812092,187,836
7812073,504,3330
13360765,4571,15962
13360737,10126,33585
90795,20568,65196
13360776,1130,3926
13360738,2166,7579
90799,4211,11222
10752664,5482,15942
91052,385,83
10604398,3104,1558
7811897,214,1725
7811901,741,6976
91284,1148,990
7774309,1918,3514
14193088,72,18
14181810,135,79
14181786,3065,2265
7296416,299,472
11917806,2447,4338
10682647,2196,5127
13761001,2523,5439
4748064,308,2888
8476102,336,3053
4748072,257,2498
7812075,165,931
7812906,98,649
8264455,853,3793
7812074,623,3126
7812908,244,1189
7812848,395,979
8264460,1038,3866
4748057,541,4856
14995909,1056,9345
13277088,262,2460
13277084,463,3789
91503,1040,708
90555,4139,2934
91498,2797,2042
90983,62,141
90975,1836,4205
13276669,213,2151
7815026,248,1248
7815019,1172,4706
7815000,212,944
7815007,1992,3454
7812175,252,488
7812201,729,3535
7812195,1217,5065
7286126,107,160
13360751,1652,4020
15870267,284,1014
989030,44,186
989029,893,3118
7814990,351,3040
7814998,131,1008
7811912,174,1543
7812177,668,830
13080554,635,704
90566,1694,1689
8480754,265,2430
4748078,264,2200
13491512,499,2185
10752671,1557,6320
6137834,95,95
91613,239,284
15714102,479,1373
15713879,3419,7218
91337,8868,19149
997520,262,290
4954975,413,463
10469630,271,187
