id,male,female
1,2489,1633
2,49291,37842
21,19100,21393
22,3276,3579
29,31944,27778
30,14101,4614
39,11730,11168
40,19008,12275
20,37843,29847
123,318,1652
50,6834,15153
150,1175,2260
146,591,6346
151,9625,2736
196,3186,7246
62,11361,18979
35,5982,4279
307,1928,2191
49,19693,23412
389,3156,1993
149,1919,12074
160,4324,3521
179,13352,34204
25,2087,1267
74,697,449
325,140,381
16,25434,20222
46,5108,15066
71,477,1921
208,1058,1968
58,5583,19782
8,19658,64004
34,5374,19873
391,96,123
371,2103,2924
117,48,623
351,5866,8126
159,2062,5754
96,1031,5221
18,746,1480
7,11452,18059
613,27,90
266,2343,3658
199,3332,14560
81,1564,1654
348,4586,3638
194,2285,4758
209,1152,3228
489,8070,8019
10,2222,4421
13,1471,1651
147,13636,8411
676,69,28
441,13130,5411
173,3890,9119
349,4217,3128
346,3674,3637
439,708,5978
234,1172,2261
203,440,576
488,5652,1106
100,2473,3973
54,12081,18482
174,1967,5241
181,2090,8804
153,2630,685
119,7851,10870
86,1338,8904
79,1822,1106
48,747,565
98,4653,8447
6,3148,12973
694,19,0
206,2097,1253
155,2450,1206
42,1716,4195
668,592,390
711,121,146
312,60,269
114,813,3856
278,222,584
175,1061,5891
692,241,935
43,666,814
214,1118,660
397,1755,2118
108,68,827
195,144,995
107,104,735
45,560,4432
93,1781,12833
192,1909,1111
606,446,1200
97,3051,11113
343,1469,991
162,877,2273
51,2006,5573
44,3785,12318
105,154,954
341,957,6527
184,2807,7795
9,680,660
84,1220,3656
41,7373,5768
347,492,437
217,939,739
167,1427,933
56,4823,3699
646,533,880
201,2762,2169
311,919,430
355,703,650
166,471,316
197,2713,6738
193,7350,4545
387,154,762
191,1303,1499
27,364,377
317,2029,4145
263,292,740
111,274,835
183,1756,7069
120,646,519
758,50,416
647,260,605
770,194,266
158,1256,2643
112,3496,2954
771,10,56
590,682,1972
772,36,3
359,683,579
658,2183,2642
12,632,3974
407,983,3003
122,91,412
719,373,1380
106,799,1266
180,5310,10107
485,170,1824
135,645,2297
728,271,811
190,1646,1871
787,17,10
340,374,1104
425,154,164
684,121,244
775,507,188
163,344,596
657,1197,1251
82,47,282
685,125,254
5,365,3075
99,523,2914
55,1571,2371
365,156,58
490,7,130
812,151,75
83,666,956
350,681,1435
91,1690,895
