id,male,female
207,1311,1070
1,658,496
21,9118,10259
34,4723,8376
16,2488,2206
2,1570,1620
247,174,527
136,116,1450
278,391,569
111,223,415
253,32,46
180,944,1944
126,275,308
37,854,710
50,988,1999
9,944,1097
237,2145,2290
18,25,61
181,118,506
86,299,1316
76,100,527
199,942,2980
42,1222,3126
74,509,666
328,129,229
241,334,136
13,4779,4267
184,145,281
110,1257,767
232,1204,885
7,7369,5949
151,1464,441
6,933,3076
234,173,190
114,127,469
179,629,1475
173,1047,2131
323,92,71
265,524,338
22,549,495
161,42,44
127,14,46
119,1659,2328
46,3415,6856
384,223,431
167,233,280
71,280,596
99,249,1120
174,148,538
97,1129,2929
231,593,447
131,270,418
100,1695,2850
43,267,376
160,433,404
44,374,791
11,1014,1119
79,1021,882
83,687,1179
98,2245,4569
317,431,747
68,184,167
105,34,329
175,1053,3155
51,419,966
171,136,190
259,13,109
93,1256,5761
587,14,11
122,73,189
128,71,48
271,329,182
169,1220,1226
120,849,828
29,2344,1860
89,289,1109
58,902,3623
132,419,1913
141,139,594
57,143,257
20,1460,1388
12,758,1656
25,277,219
201,66,119
82,78,576
324,26,67
112,601,978
40,517,463
204,7,17
389,53,63
261,698,389
535,13,11
294,165,105
330,76,30
121,114,85
449,287,300
215,202,226
80,1162,3222
146,378,2232
355,153,186
62,899,1870
301,224,105
49,833,1141
130,213,934
116,63,42
220,38,57
507,120,163
91,662,476
90,181,315
185,17,75
147,976,656
200,25,122
87,133,920
373,299,239
96,748,2803
118,55,79
493,301,327
420,0,1
188,27,191
48,175,137
437,6,5
104,256,586
221,110,111
78,622,661
101,96,97
186,87,77
217,1229,810
65,754,1583
85,116,154
332,6,50
159,345,1160
75,81,67
190,73,48
158,529,957
77,57,390
764,6,5
135,129,321
125,164,302
103,507,746
187,14,23
73,24,50
10,46,53
266,284,261
337,228,672
325,103,300
176,57,310
245,97,239
577,4,9
138,168,193
320,396,380
168,128,146
81,224,373
203,66,106
183,490,1163
372,19,25
166,21,18
150,140,344
339,100,140
165,277,328
149,182,933
363,535,293
229,760,675
137,67,129
214,435,260
31,178,348
382,55,66
124,8,2
163,160,224
429,31,19
347,137,114
192,133,76
303,156,74
162,68,116
102,189,70
270,71,54
152,67,33
8,168,321
346,59,60
153,416,115
361,213,261
106,223,396
195,70,227
95,148,1077
27,75,78
177,167,149
108,32,323
88,22,227
205,653,1056
327,109,100
272,186,189
338,66,403
244,94,52
544,11,20
422,27,88
144,66,199
117,23,186
331,6,12
115,17,57
172,16,51
260,160,59
784,4,3
636,20,11
319,154,270
302,261,124
336,25,74
193,51,64
155,149,163
1029,0,1
94,15,33
156,34,75
348,35,35
262,369,317
148,268,148
297,70,19
288,41,11
133,81,301
24,423,360
477,48,82
364,87,68
53,126,377
257,53,190
269,36,52
154,58,61
123,21,106
445,157,168
308,25,55
284,42,67
620,23,23
35,136,149
196,102,261
194,122,262
109,285,311
481,7,5
1022,3,0
263,36,141
63,313,402
532,15,9
379,246,193
356,2,3
56,31,74
55,20,30
341,10,57
182,71,241
578,10,16
197,40,142
313,12,104
371,120,83
641,21,8
368,88,74
252,241,172
640,4,1
143,2,24
474,42,31
267,35,65
23,637,284
61,40,184
380,86,46
84,67,293
178,30,87
92,8,30
307,657,427
401,15,19
611,70,98
300,4,41
275,3,58
28,35,28
517,4,22
264,26,67
293,5,106
410,83,268
630,1,11
369,31,35
251,4,44
246,18,38
5,34,315
268,185,109
426,8,27
157,57,126
415,28,20
145,5,12
286,86,70
314,5,41
39,8,13
334,53,132
291,137,146
538,2,0
202,8,28
340,8,21
254,75,79
904,2,0
428,4,13
134,7,24
423,5,35
326,12,16
345,7,75
208,61,136
438,9,18
198,43,14
239,3,4
520,3,8
381,19,10
191,78,59
447,14,29
366,34,21
952,6,17
1107,0,3
533,2,2
1115,1,0
941,1,6
1114,6,5
1118,2,1
524,2,1
1071,0,1
1097,3,0
107,38,170
947,1,6
796,6,6
869,7,3
945,1,0
45,11,150
1378,0,2
1141,1,0
388,3,10
888,4,3
946,0,2
942,0,4
312,51,306
530,0,2
1087,1,0
522,2,2
868,1,3
1085,2,0
1098,1,0
955,1,0
1109,1,0
515,0,1
1138,2,1
1168,0,1
227,65,130
250,90,98
225,156,133
216,38,36
223,407,211
311,69,27
418,2,11
409,4,19
378,29,28
476,118,250
273,186,44
279,24,33
258,21,29
295,375,172
316,83,23
248,125,263
444,5,10
679,3,1
304,16,21
417,1,2
280,103,63
226,14,11
404,5,7
164,88,75
344,9,42
601,12,19
15,42,26
1399,2,3
433,10,7
406,3,2
129,10,23
436,6,20
342,9,13
306,22,74
276,143,62
879,5,2
901,3,2
140,13,6
142,17,31
1019,6,6
335,2,28
576,1,3
362,3,5
367,17,15
897,12,30
512,2,10
682,5,4
243,6,18
322,5,17
296,1,0
681,4,0
281,3,5
357,21,16
290,15,37
621,16,18
548,3,8
421,8,41
1021,2,3
638,6,10
283,76,32
287,5,10
391,3,16
480,5,9
536,6,3
431,38,68
419,12,23
570,2,8
540,8,18
377,0,17
113,6,23
365,42,25
298,17,50
907,20,18
425,2,5
256,9,8
785,1,0
546,5,11
318,14,6
543,6,1
575,2,2
206,3,2
333,2,6
1059,2,1
390,2,9
329,4,7
478,1,1
503,4,3
450,3,0
537,19,23
310,31,32
236,12,18
605,7,25
343,10,6
565,2,9
218,20,23
376,8,5
413,2,3
642,1,1
505,4,8
385,3,11
228,1,1
434,7,1
991,1,0
240,11,12
292,25,21
407,1,15
299,3,14
321,1,8
230,11,26
508,16,24
566,1,1
881,2,2
1083,1,0
315,9,18
139,27,4
499,2,0
402,3,4
374,4,6
612,3,9
451,12,12
494,1,2
170,1,17
791,1,5
460,2,3
890,2,4
790,1,1
501,2,1
523,1,0
424,5,2
1031,0,1
951,1,0
637,8,8
643,1,5
730,2,1
353,0,2
547,2,5
309,1,3
950,1,0
902,2,1
803,3,4
639,4,3
988,1,0
906,2,1
305,2,2
238,2,1
387,4,20
224,2,2
255,2,2
233,4,0
289,4,1
510,2,2
427,3,3
452,1,2
457,1,1
884,6,4
249,0,3
569,2,8
663,12,4
435,3,4
222,11,27
274,3,3
825,0,2
797,2,1
414,2,3
242,3,2
922,1,1
189,1,8
574,2,2
997,0,1
596,0,1
408,1,3
541,4,16
674,4,6
793,6,4
446,1,13
405,2,7
886,1,0
982,3,3
840,3,0
594,1,7
411,4,2
919,1,5
896,1,0
430,1,10
550,2,0
786,0,1
792,4,4
403,7,3
1013,0,2
472,1,0
504,3,1
889,0,3
622,1,1
1060,2,0
619,0,1
973,1,1
1058,0,1
891,0,1
903,3,2
1284,0,1
416,30,5
588,0,2
448,0,4
1037,2,0
664,1,1
707,1,0
1034,2,0
885,1,0
1069,0,1
723,4,0
383,3,0
1039,3,1
563,1,0
980,0,2
1439,4,0
235,1,0
72,3,1
277,2,2
568,0,3
794,2,1
526,1,0
1023,1,0
837,1,0
893,0,1
370,0,1
393,1,0
529,0,2
375,0,1
1030,1,0
282,0,3
511,1,0
726,1,2
597,2,0
722,1,0
500,1,0
693,2,0
468,0,1
285,0,1
635,1,0
571,1,0
814,1,0
453,1,0
1054,1,0
506,0,1
1090,1,0
1125,1,0
736,0,3
