id,male,female
2,22853,17656
4,1182,12948
5,420,7430
6,1480,5656
7,8748,12895
8,6953,18501
9,3600,6289
10,4003,7072
11,468,1000
12,2161,12102
24,822,540
25,1662,942
26,1303,1289
21,14044,14570
16,15956,14671
17,33275,39693
27,536,499
28,305,330
22,3087,3073
33,1693,1650
34,4895,16553
35,6736,3947
30,4469,1247
32,239,345
36,5465,8631
20,19806,17558
29,16723,16191
3,19832,27158
37,5093,4213
38,1693,4206
42,3348,6837
43,1617,1593
44,1639,5832
41,7648,5459
39,7831,6774
45,150,2153
46,4877,14495
40,10046,7687
47,2361,2770
13,1314,1436
146,291,6376
50,2798,6547
150,1009,2243
151,8186,2329
210,242,233
123,417,2058
211,1853,2735
148,1614,579
212,11254,9997
213,1086,462
62,5880,9960
196,1140,2771
93,698,7225
307,1077,1261
183,1480,5141
54,8523,12379
31,2635,5531
65,2243,5671
389,2921,1819
479,1062,1523
320,2542,4844
88,325,2282
149,1586,9757
553,5818,7521
579,184,575
334,411,1147
580,3305,2478
581,657,629
582,468,269
160,2897,2605
77,116,1540
179,4748,11000
449,199,246
61,233,1898
98,4298,7548
185,432,3038
583,1304,1564
324,160,537
584,3444,2829
71,551,1968
474,504,649
58,1713,5525
353,803,897
69,2771,3319
325,142,411
317,1153,2541
111,681,1323
619,52,83
391,2284,2644
371,2824,3722
495,2027,1684
117,16,457
278,146,308
51,1399,3449
552,205,302
18,837,1718
144,272,1050
64,123,259
199,1941,7218
348,3504,3150
86,1401,7339
209,600,2132
555,1802,1765
591,620,1923
105,51,593
618,31,218
398,4846,4776
147,7748,5387
66,467,401
441,942,309
154,683,422
159,1496,3935
175,1217,6140
205,926,3005
90,1378,2904
48,686,660
49,7250,8343
432,716,2596
634,1263,1355
359,2347,2284
603,1514,1451
100,3344,4987
694,12,1
351,3735,4974
181,786,3518
695,261,722
397,4455,5070
53,421,1316
651,218,606
697,601,385
561,840,795
206,2773,1973
155,1196,578
668,495,258
96,686,3541
354,790,4782
712,3,91
266,1014,1402
312,46,246
173,2723,7457
81,978,1112
217,1411,1139
68,720,549
396,13,57
536,290,475
83,774,1203
119,2989,3775
108,29,810
132,266,2021
717,3,68
440,16,562
195,176,1213
107,31,453
174,1185,3702
422,35,182
106,531,936
718,203,792
560,413,1506
79,2772,1757
600,472,258
140,153,72
714,161,38
442,558,2211
153,3386,639
443,448,1867
198,1235,270
192,1111,575
133,300,968
97,1122,4039
234,1245,2377
607,670,727
655,90,287
606,194,466
627,23,80
135,473,1450
728,524,855
343,493,283
162,400,1195
558,2934,2634
85,539,859
203,393,407
178,146,501
731,73,103
201,1699,1446
341,151,1488
184,1102,2597
701,318,775
56,2281,1702
57,703,2313
208,346,704
194,764,1570
84,404,1180
565,378,773
626,1432,1199
