id,male,female
3,181589,195597
23,41251,16308
16,66892,50209
21,15972,13390
20,108451,82323
31,5728,11802
30,11288,2535
32,1295,1688
13,32463,39727
41,40755,28500
205,3169,7544
123,468,2288
206,19788,13515
63,1790,2575
207,4763,4040
208,7366,15912
209,5204,12749
225,559,660
247,2762,3878
35,5051,2874
155,2952,1524
147,12082,5527
263,738,2258
10,6647,12295
241,2647,1484
62,12165,22484
236,122,253
29,45919,34235
175,2959,13144
46,7777,19457
246,1736,2937
348,7232,6144
12,2143,11512
65,9738,20005
39,8847,6500
171,1042,1140
129,342,472
477,2734,5883
191,157,238
320,3098,3923
217,4738,3730
478,4401,1858
158,2126,4083
160,2047,1637
34,13121,32780
74,1434,898
351,520,737
26,5759,4101
112,5462,4497
98,11792,20706
110,2909,926
118,5102,9234
144,402,1170
37,17582,13219
199,4886,15768
51,3952,8066
371,17489,21654
146,636,8327
149,1324,9439
83,2537,2677
103,2990,4257
90,2176,3452
79,2584,1279
136,374,2555
391,5049,6929
42,7570,16108
495,4007,2976
132,1159,5007
356,2392,2076
2,33075,16871
117,23,759
485,230,5162
357,5734,8280
307,11328,11515
218,791,1121
278,1168,1638
552,794,1062
234,4317,6171
614,250,130
615,790,551
325,862,1629
501,1112,936
93,1375,9278
7,24241,32438
616,1280,1876
617,361,97
606,3013,5570
64,198,421
618,368,4026
266,5244,5589
11,1727,1638
111,1365,2527
444,580,1527
323,641,859
555,2399,1834
675,315,229
135,2726,6796
359,3237,2535
164,514,249
85,459,411
399,188,4000
28,600,485
317,681,1545
558,4658,3344
8,8646,26216
78,1425,1185
22,6757,5205
678,483,1507
24,4997,2900
49,11688,15745
319,2174,5096
651,91,175
89,798,2434
153,17042,2410
100,6766,9642
130,189,784
599,587,89
256,618,249
40,7076,4171
216,6728,3726
104,630,5089
291,2505,3646
709,42,76
394,3228,969
537,1035,1481
287,70,690
409,290,747
581,907,526
71,1306,3409
312,681,2550
713,1273,301
124,1964,1599
714,928,494
715,3,56
396,113,339
33,17428,12023
220,1093,2296
214,4573,2379
578,13866,9431
134,846,1341
484,1529,1733
451,218,423
333,28,47
53,933,3058
725,389,124
57,62,299
297,643,210
80,1343,3405
97,3326,10320
324,555,2130
58,2605,9559
373,1231,682
180,3248,5180
19,13694,4519
347,5716,4688
76,428,2148
161,1184,770
167,2501,1144
272,1340,2291
361,1097,1515
483,2639,4937
173,2381,5766
61,165,531
184,446,1017
141,216,1286
536,316,414
86,1809,8815
84,764,1889
235,5,17
755,1799,2442
248,820,1471
756,18,94
262,1406,982
198,3203,410
109,1562,1367
406,1343,409
119,757,793
303,955,719
108,102,1657
716,4200,2432
163,1109,1046
407,3536,8737
276,3692,982
497,3281,1338
301,1851,781
91,1608,503
778,319,281
264,1730,5042
631,2833,2747
6,886,4401
779,93,2207
710,396,640
275,222,1268
299,135,418
94,277,307
380,5640,3729
365,1518,852
260,2178,565
585,1776,1269
425,742,766
553,4667,6227
633,254,274
151,2713,572
69,314,504
498,171,1997
316,3173,1226
48,1174,775
410,237,1185
826,148,248
273,973,210
334,1476,3109
254,3239,1773
223,2757,1717
838,14,11
226,390,545
14,159,353
139,1046,103
330,46,22
66,681,493
474,319,513
665,820,777
168,636,434
45,283,2020
760,411,563
776,3850,2659
445,411,545
99,230,1960
752,532,641
849,1051,359
